id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,2025-239276,2025-01-03,000001,Vente,160000,142,Unnamed: 6,RUE LAREVELLIERE,4650,49100,49007,Angers,49,Unnamed: 13,Unnamed: 14,49007000CI0009,Unnamed: 16,Unnamed: 17,60,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,1,3,Dépendance,Unnamed: 31,0,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,-0.52765,47.471092,annee,mois,prix_m2,type_encode
2024-586687,2024-01-04,1.0,Vente,197000.0,8.0,,ALL RENE CHAR,4815,49300.0,49099.0,Cholet,49.0,,,49099000CY1410,,,,,,,,,,,,,0.0,1.0,Maison,95.0,4.0,S,sols,,,243.0,-0.848697,47.049161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2073.684210526316,1
2024-586688,2024-01-05,1.0,Vente,185000.0,12.0,,IMP DU CHAMP DE COURSES,0014,49400.0,49362.0,Varrains,49.0,,,49362000AA0190,,,,,,,,,,,,,0.0,1.0,Maison,108.0,5.0,S,sols,,,441.0,-0.075774,47.236579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1712.962962962963,1
2024-586690,2024-01-09,1.0,Vente,800000.0,12.0,,RUE DES CAMPAGNOLS,4804,49300.0,49099.0,Cholet,49.0,,,49099000CY1136,,,,,,,,,,,,,0.0,1.0,Maison,200.0,6.0,S,sols,,,876.0,-0.855154,47.042406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,4000.0,1
2024-586693,2024-01-05,1.0,Vente,890000.0,6.0,,RUE PASTEUR,1500,49150.0,49018.0,Baugé-en-Anjou,49.0,,,49018000AB0339,,,,,,,,,,,,,0.0,1.0,Maison,185.0,4.0,S,sols,,,791.0,-0.102948,47.542785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,4810.810810810811,1
2024-586695,2024-01-08,1.0,Vente,390000.0,1050.0,,RTE DE LA HUROLERIE,2427,49150.0,49018.0,Baugé-en-Anjou,49.0,,,49018372ZH0024,,,,,,,,,,,,,0.0,1.0,Maison,140.0,4.0,T,terres,,,692.0,-0.168946,47.536126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2785.714285714286,1
2024-586696,2024-01-09,1.0,Vente,197200.0,11.0,,CHE DE LA CHABOLAIS,0049,49000.0,49129.0,Écouflant,49.0,,,49129000AE0575,,,,,,,,,,,,,0.0,1.0,Maison,178.0,4.0,S,sols,,,625.0,-0.503453,47.500035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1107.8651685393259,1
2024-586697,2024-01-05,1.0,Vente,400000.0,58.0,,BD DU ROI RENE,6980,49100.0,49007.0,Angers,49.0,,,49007000DH0248,,,15.0,137.99,,,,,,,,,1.0,2.0,Appartement,160.0,4.0,,,,,,-0.554319,47.46653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2500.0,0
2024-586698,2024-01-04,1.0,Vente,250000.0,4.0,,RUE DES ACACIAS,0005,49280.0,49269.0,Saint-Christophe-du-Bois,49.0,,,49269000AH0115,,,,,,,,,,,,,0.0,1.0,Maison,113.0,6.0,S,sols,,,630.0,-0.948107,47.031839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2212.3893805309735,1
2024-586703,2024-01-11,1.0,Vente,235000.0,1.0,,AV JEANNE D ARC (MONTJEAN),0597,49570.0,49244.0,Mauges-sur-Loire,49.0,,,49244212AL1038,,,,,,,,,,,,,0.0,1.0,Maison,127.0,4.0,S,sols,,,262.0,-0.858564,47.38629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1850.3937007874015,1
2024-586704,2024-01-04,1.0,Vente,80000.0,32.0,,RUE DE LA GIRARDIERE,1921,49300.0,49099.0,Cholet,49.0,,,49099000DK0102,,,,,,,,,,,,,0.0,1.0,Maison,87.0,5.0,S,sols,,,303.0,-0.90291,47.046867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,919.5402298850574,1
